Date,Open,Close,High,Low,Volume
2023-06-07,231.43,235.24,240.0,231.43,17738.0
2023-06-08,236.19,232.19,236.19,228.76,48081.0
2023-06-11,232.38,233.81,236.19,231.05,55328.0
2023-06-12,236.19,234.0,236.19,232.0,24437.0
2023-06-13,230.95,236.19,237.14,229.33,39718.0
2023-06-14,235.24,240.0,243.71,235.24,68933.0
2023-06-15,239.05,240.1,242.86,236.57,30673.0
2023-06-18,238.1,235.24,240.0,234.38,69836.0
2023-06-19,235.24,235.71,238.0,233.81,44535.0
2023-06-20,232.1,234.38,240.0,232.1,18395.0
2023-06-21,239.05,231.43,239.05,230.95,25061.0
2023-06-22,235.24,230.38,235.24,228.1,31466.0
2023-06-25,228.57,233.24,233.62,227.62,78413.0
2023-06-26,233.33,235.52,239.9,233.24,43599.0
2023-06-27,233.33,247.33,247.62,233.33,77772.0
2023-06-28,252.1,239.05,252.19,235.43,95842.0
2023-07-02,242.86,234.29,242.86,233.33,61618.0
2023-07-03,232.38,229.9,234.29,229.62,38471.0
2023-07-04,229.52,230.0,233.33,228.57,32292.0
2023-07-05,231.43,230.48,235.24,228.76,71425.0
2023-07-06,230.48,229.52,231.43,226.86,37751.0
2023-07-09,230.48,227.71,231.33,226.67,79271.0
2023-07-10,229.52,228.57,231.43,227.24,37348.0
2023-07-11,230.48,230.48,231.33,226.67,24867.0
2023-07-12,232.38,233.33,233.33,228.57,21451.0
2023-07-13,236.19,232.48,237.14,231.9,29048.0
2023-07-16,235.24,240.95,241.81,233.33,94754.0
2023-07-17,241.05,253.33,254.29,241.05,93155.0
2023-07-18,258.1,252.86,259.52,252.38,78922.0
2023-07-19,255.24,260.95,267.52,252.38,135612.0
2023-07-20,265.71,263.81,265.71,255.81,83680.0
2023-07-23,266.67,276.19,277.81,261.9,153332.0
2023-07-24,276.19,264.76,276.19,259.05,147752.0
2023-07-25,269.05,256.19,269.05,254.29,58394.0
2023-07-26,257.14,256.19,262.38,254.0,39891.0
2023-07-27,257.14,251.14,258.1,250.95,34748.0
2023-07-30,252.38,247.62,253.33,244.76,70437.0
2023-07-31,252.38,250.95,252.38,238.1,70409.0
2023-08-01,247.9,246.67,253.9,245.81,23166.0
2023-08-02,247.62,248.0,250.29,243.81,29090.0
2023-08-03,251.43,251.52,255.9,247.81,30845.0
2023-08-06,251.43,246.57,256.48,242.86,100729.0
2023-08-07,243.81,241.9,247.62,238.19,59435.0
2023-08-08,239.05,237.81,242.86,233.43,41754.0
2023-08-09,233.81,240.86,240.86,233.33,28520.0
2023-08-10,238.38,240.0,242.67,238.1,39080.0
2023-08-13,242.86,242.95,246.57,242.86,37974.0
2023-08-14,247.62,245.71,249.52,244.86,56221.0
2023-08-15,245.71,250.48,251.43,243.81,61291.0
2023-08-16,247.62,251.43,251.43,246.0,69109.0
2023-08-17,252.38,252.38,254.48,247.62,58770.0
2023-08-20,247.62,255.24,257.43,247.62,46287.0
2023-08-21,252.38,254.29,257.14,250.48,47806.0
2023-08-22,251.43,253.33,256.1,251.43,22040.0
2023-08-23,253.33,256.1,257.05,252.38,42597.0
2023-08-24,256.19,253.33,256.76,251.81,48960.0
2023-08-27,253.33,252.38,255.43,248.67,53952.0
2023-08-28,252.38,254.0,255.71,250.19,18872.0
2023-08-29,250.48,250.48,255.24,250.48,13058.0
2023-08-30,250.1,251.43,254.29,246.67,78614.0
2023-09-03,247.71,248.1,251.43,247.71,22182.0
2023-09-04,249.43,248.57,252.29,247.14,23593.0
2023-09-05,252.1,250.0,252.1,248.1,13971.0
2023-09-07,246.76,239.05,247.62,238.1,124320.0
2023-09-10,242.86,242.76,245.71,242.0,30535.0
2023-09-11,242.86,248.57,248.57,241.05,24393.0
2023-09-12,251.43,250.48,251.43,246.76,40847.0
2023-09-13,250.48,251.14,253.24,248.76,45907.0
2023-09-17,250.48,244.67,250.67,241.9,33669.0
2023-09-18,241.9,241.43,245.71,241.14,27733.0
2023-09-19,241.43,246.19,246.19,241.24,14944.0
2023-09-21,251.05,246.67,253.33,246.29,50474.0
2023-09-24,247.62,244.76,248.57,244.76,15953.0
2023-09-25,247.62,244.86,247.62,244.76,11920.0
2023-09-26,243.9,248.57,249.52,243.81,68279.0
2023-09-27,252.38,249.52,252.38,244.29,30057.0
2023-10-01,245.71,247.62,250.0,245.05,43216.0
2023-10-02,243.05,248.1,249.52,242.86,34534.0
2023-10-03,248.57,247.62,249.43,246.76,66091.0
2023-10-04,249.52,248.29,250.48,246.67,58270.0
2023-10-05,248.57,248.57,250.38,247.81,60275.0
2023-10-08,252.38,244.57,252.38,244.38,34484.0
2023-10-09,240.95,240.48,244.67,240.48,23227.0
2023-10-10,240.0,237.52,240.0,236.57,32902.0
2023-10-11,238.1,238.67,240.86,237.14,16543.0
2023-10-12,233.9,230.95,235.24,228.86,161280.0
2023-10-16,226.67,229.33,231.43,226.67,31146.0
2023-10-17,233.24,231.52,233.62,229.52,43852.0
2023-10-18,234.29,235.43,238.1,229.71,49809.0
2023-10-19,240.1,236.19,240.1,230.48,21880.0
2023-10-29,235.24,235.24,238.1,231.43,32690.0
2023-10-30,231.52,234.19,235.24,230.76,24849.0
2023-10-31,234.19,230.95,234.19,230.48,13250.0
2023-11-01,233.24,231.43,236.19,228.57,34132.0
2023-11-02,231.43,232.29,234.76,228.57,26457.0
2023-11-05,228.57,222.86,228.57,220.95,78173.0
2023-11-06,226.67,226.19,228.38,220.0,30551.0
2023-11-07,225.71,223.81,225.71,217.9,30187.0
2023-11-08,223.81,221.24,223.81,219.05,8371.0
2023-11-09,219.05,220.95,223.81,217.14,9382.0
2023-11-20,219.43,219.05,226.19,215.24,19051.0
2023-11-21,217.24,217.14,219.05,215.24,6932.0
2023-11-22,218.0,216.19,218.0,212.86,9271.0
2023-11-23,212.38,216.19,216.57,212.38,20260.0
2023-11-26,213.43,220.19,222.19,213.33,26526.0
2023-11-27,220.95,219.24,222.86,219.05,11776.0
2023-11-28,217.24,219.33,223.62,217.24,30633.0
2023-11-29,219.33,219.05,220.95,217.14,15852.0
2023-11-30,215.81,219.05,219.05,214.67,9692.0
2023-12-03,216.19,220.76,221.43,216.19,17582.0
2023-12-04,220.1,220.0,222.86,217.24,23358.0
2023-12-05,221.43,217.14,221.43,215.81,9925.0
2023-12-06,213.43,218.0,218.19,213.43,10290.0
2023-12-07,214.29,216.38,218.67,214.29,8262.0
2023-12-10,216.19,233.33,233.33,216.19,4181.0
2023-12-11,228.67,231.33,236.19,225.9,49490.0
2023-12-12,226.76,229.24,235.24,222.86,29170.0
2023-12-13,224.67,229.52,233.33,224.67,29714.0
2023-12-14,233.33,234.29,237.14,231.62,24854.0
2023-12-17,231.43,235.24,236.19,227.62,50829.0
2023-12-18,238.1,245.24,249.52,234.0,93509.0
2023-12-19,247.62,257.14,269.52,245.14,116866.0
2023-12-20,252.38,255.24,267.14,252.38,61636.0
2023-12-21,250.48,244.76,257.14,244.76,64991.0
2023-12-24,240.95,245.05,247.43,240.95,56225.0
2023-12-27,240.95,242.86,246.57,240.48,41146.0
2023-12-28,240.57,238.1,244.76,238.1,46429.0
2024-01-01,240.0,240.0,242.86,239.05,50148.0
2024-01-02,241.9,238.29,243.81,238.29,56527.0
2024-01-03,238.29,241.9,242.86,238.0,39567.0
2024-01-04,245.71,240.95,245.71,240.0,37719.0
2024-01-07,245.71,232.86,245.71,231.62,97843.0
2024-01-08,230.57,233.33,234.29,229.71,70283.0
2024-01-09,234.29,236.19,237.14,233.43,24958.0
2024-01-10,236.19,233.43,244.0,233.43,60402.0
2024-01-11,237.14,238.19,243.81,237.14,40324.0
2024-01-14,241.9,238.1,241.9,233.52,41542.0
2024-01-16,238.1,243.33,243.81,238.1,75269.0
2024-01-17,247.62,240.86,247.81,238.19,149333.0
2024-01-18,237.24,234.29,244.76,234.29,43518.0
2024-01-21,237.14,228.57,237.14,228.57,42988.0
2024-01-22,232.38,230.48,235.24,227.62,68039.0
2024-01-23,232.38,228.1,232.76,228.1,30744.0
2024-01-24,228.57,227.43,230.38,225.71,40782.0
2024-01-25,226.76,223.9,228.57,222.95,40477.0
2024-01-28,225.71,223.71,227.62,221.9,54648.0
2024-01-29,228.1,223.14,232.38,223.05,28579.0
2024-01-30,223.14,223.71,228.57,222.86,20854.0
2024-01-31,223.81,227.62,229.05,223.81,59498.0
2024-02-01,227.62,222.1,228.57,221.9,16993.0
2024-02-04,221.9,221.9,225.24,220.0,19866.0
2024-02-05,222.86,221.24,224.0,220.95,15093.0
2024-02-06,225.62,221.9,225.62,221.24,15060.0
2024-02-07,226.29,221.9,230.48,221.52,20492.0
2024-02-08,221.9,223.05,223.71,221.9,19336.0
2024-02-11,225.71,221.81,226.67,221.43,21645.0
2024-02-12,220.38,221.43,224.67,220.38,18126.0
2024-02-13,223.81,217.62,223.81,217.62,34419.0
2024-02-14,218.1,217.14,220.0,216.19,33497.0
2024-02-15,219.05,215.24,220.0,215.24,32083.0
2024-02-18,219.05,216.48,220.67,215.43,32072.0
2024-02-20,215.24,217.14,217.14,215.24,12497.0
