Date,Open,Close,High,Low,Volume,company
2025-02-02,200.8,205.0,207.8,200.8,340429.0,
2025-02-03,209.0,205.3,211.0,205.1,254645.0,
2025-02-04,209.4,203.8,209.4,201.9,235121.0,
2025-02-05,204.0,205.0,207.8,203.0,241992.0,
2025-02-06,203.9,203.1,207.5,203.0,164878.0,
2025-02-09,204.0,208.0,211.6,204.0,364159.0,
2025-02-10,212.0,206.0,212.0,203.3,142581.0,
2025-02-11,210.0,204.9,210.0,203.0,91585.0,
2025-02-12,201.1,203.6,206.7,201.1,105446.0,
2025-02-13,199.7,205.0,207.0,199.7,150802.0,
2025-02-16,209.1,207.0,209.1,202.0,198236.0,
2025-02-17,206.0,206.2,209.9,206.0,256256.0,
2025-02-18,202.1,205.0,210.0,202.1,141710.0,
2025-02-20,200.9,202.9,206.4,200.9,124030.0,
2025-02-23,200.0,202.5,204.0,199.0,164757.0,
2025-02-24,198.5,205.0,207.0,198.5,181109.0,
2025-02-25,204.0,203.3,206.4,203.1,112464.0,
2025-02-27,199.9,217.9,218.9,199.9,682497.0,
2025-03-02,220.0,224.2,225.0,217.6,617029.0,
2025-03-02,220.0,224.2,225.0,217.6,617029.0,
2025-03-03,225.0,216.5,227.8,216.0,458986.0,
2025-03-04,212.2,222.9,231.0,212.2,925906.0,
2025-03-05,227.3,224.8,229.5,222.0,650953.0,
2025-03-06,220.4,221.9,226.4,220.4,222256.0,
2025-03-09,226.3,214.4,226.3,214.0,328350.0,
2025-03-10,214.6,214.0,218.4,210.9,249996.0,
2025-03-11,214.0,207.9,216.0,207.1,231008.0,
2025-03-12,203.8,210.0,212.0,203.8,176221.0,
2025-03-16,212.0,207.8,213.0,205.3,162900.0,
2025-03-17,207.8,207.6,211.1,206.0,172370.0,
2025-03-18,207.0,208.5,211.5,206.5,129222.0,
2025-03-19,210.0,206.0,210.0,205.0,124643.0,
2025-03-20,207.0,204.33,207.0,203.2,130037.0,
2025-03-23,208.4,200.79,208.4,200.1,187625.0,
2025-03-24,196.8,204.15,205.9,196.8,144996.0,
2025-03-25,200.1,199.49,203.0,199.0,155446.0,
2025-03-26,195.6,201.55,203.0,195.6,114124.0,
2025-03-27,203.0,204.07,204.6,200.2,130032.0,
2025-03-30,203.0,207.03,209.8,202.0,183593.0,
2025-04-01,209.0,205.12,210.0,203.1,108263.0,
2025-04-02,206.0,204.72,207.0,202.4,69728.0,
2025-04-03,204.0,203.16,207.0,203.0,109881.0,
